,QYW2_44,QYW_41,QYW2_24,QYW2_47,QYW2_29,QYW2_3,QYW_18,QYW_34,QYW_48,QYW2_28,QYW2_8,QYW2_6,QYW2_42,QYW2_5,QYW_44,QYW_14,QYW_33,QYW_02,QYW_28,QYW_13,QYW_08,QYW_32,QYW2_9,QYW_36,QYW_38,QYW_11,QYW2_40,QYW2_17,QYW_30,QYW2_45,QYW_42,QYW2_30,QYW_01,QYW2_4,QYW_27,QYW2_33,QYW2_20,QYW2_2,QYW_26,QYW2_23,QYW2_22,QYW_46,QYW_23,QYW_47,QYW2_27,QYW2_46,QYW_12,QYW_22,QYW2_36,QYW2_16,QYW_25,QYW_04,QYW2_43,QYW2_1,QYW_43,QYW_17,QYW_19,QYW2_50_1,QYW_05,QYW_15,QYW2_37,QYW_45,QYW_31,QYW_35,QYW2_48,QYW_37,QYW2_31,QYW_49,QYW_10,QYW2_19,QYW2_50_2,QYW2_26,QYW2_25,QYW_20,QYW2_49,QYW_40,QYW_H1,QYW2_41,QYW2_14,QYW2_32,QYW_21,QYW2_51,QYW_03,QYW2_38,QYW2_21,QYW2_39,QYW_29,QYW_09,QYW_24,QYW_07,QYW2_7,QYW2_15,QYW_39,QYW_06
0,M+;N+;Mc+;ENEH+;ENEP+;ENAV+;ENEV+;s+,M+;ENEH+;ENEP+;ENAV+;ENEV+;s+,N+;Mc+;ENEH+;ENEP+;ENAV+;ENEV+;s+,N+;ENEH+;ENEP+;ENAV+;ENEV+;s+;S+,M+;N+;Mc+;ENEH+;ENEP+;ENAV+;ENEV+;s+,N+;ENEH+;ENEP+;ENAV+;ENEV+;s+,M+;N+;Mc+;ENEH+;ERIK+;ENEP+;ENAV+;ENEV+;s+,M+;N+;Mc+;ENEH+;ENEP+;ENAV+;ENEV+;s+,M+;ENEH+;ENEP+;ENAV+;ENEV+;s+,M+;N+;Mc+;ENEH+;ENEP+;ENAV+;ENEV+;s+,M+;ENEH+;ENEP+;ENAV+;ENEV+;s+;S+,M+;N+;Mc+;ENEH+;ENEP+;ENAV+;ENEV+;s+,M+;N+;Mc+;ENEH+;ENEP+;ENAV+;ENEV+;s+;S+,M+;ENEH+;ENEP+;ENAV+;ENEV+;s+,M+;ENEH+;ENEP+;ENAV+;ENEV+;s+,M+;ENEH+;ENEP+;ENAV+;ENEV+;s+,M+;ENEH+;ENEP+;ENAV+;ENEV+;s+,M+;N+;Mc+;ENEH+;ENEP+;ENAV+;ENEV+;s+,M+;ENEH+;ENEP+;ENAV+;ENEV+;s+,M+;N+;Mc+;ENEH+;ENEP+;ENAV+;ENEV+;s+,M+;ENEH+;ENEP+;ENAV+;ENEV+;s+,M+;ENEH+;ENEP+;ENAV+;ENEV+;s+,M+;N+;Mc+;ENEH+;ENEP+;ENAV+;ENEV+;s+,M+;ENEH+;ENEP+;ENAV+;ENEV+;s+,M+;ENEH+;ENEP+;ENAV+;ENEV+;s+,M+;ENEH+;ENEP+;ENAV+;ENEV+;s+,N+;ENEH+;ENEP+;ENAV+;ENEV+;s+,N+;ENEH+;ENEP+;ENAV+;ENEV+;s+,M+;ENEH+;ENEP+;ENAV+;ENEV+;s+,M+;N+;Mc+;ENEH+;ENEP+;ENAV+;ENEV+;s+,M+;ENEH+;ENEP+;ENAV+;ENEV+;s+,M+;N+;Mc+;ENEH+;ENEP+;ENAV+;ENEV+;s+,M+;ENEH+;ENEP+;ENAV+;ENEV+;s+,N+;ENEH+;ENEP+;ENAV+;ENEV+;s+;S+,M+;ENEH+;ENEP+;ENAV+;ENEV+;s+,M+;ENEH+;ENEP+;ENAV+;ENEV+;s+,M+;N+;Mc+;ENEH+;ENEP+;ENAV+;ENEV+;s+,M+;N+;Mc+;ENEH+;ENEP+;ENAV+;ENEV+;s+,M+;ENEH+;ENEP+;ENAV+;ENEV+;s+,N+;Mc+;ENEH+;ENEP+;ENAV+;ENEV+;s+,N+;ENEH+;ENEP+;ENAV+;ENEV+;s+,M+;ENEH+;ENEP+;ENAV+;ENEV+;s+,M+;ENEH+;ENEP+;ENAV+;ENEV+;s+,M+;ENEH+;ENEP+;ENAV+;ENEV+;s+,M+;N+;Mc+;ENEH+;ENEP+;ENAV+;ENEV+;s+,M+;N+;Mc+;ENEH+;ENEP+;ENAV+;ENEV+;s+,M+;N+;Mc+;ENEH+;ENEP+;ENAV+;ENEV+;s+,M+;ENEH+;ENEP+;ENAV+;ENEV+;s+,N+;ENEH+;ENEP+;ENAV+;ENEV+;s+,N+;ENEH+;ENEP+;ENAV+;ENEV+;s+,M+;ENEH+;ENEP+;ENAV+;ENEV+;s+,M+;ENEH+;ENEP+;ENAV+;ENEV+;s+,N+;ENEH+;ENEP+;ENAV+;ENEV+;s+,M+;N+;Mc+;ENEH+;ENEP+;ENAV+;ENEV+;s+,M+;ENEH+;ENEP+;ENAV+;ENEV+;s+,M+;N+;Mc+;ENEH+;ENEP+;ENAV+;ENEV+;s+,M+;ENEH+;ENEP+;ENAV+;ENEV+;s+,M+;ENEH+;ENEP+;ENAV+;ENEV+;s+;S+,M+;N+;Mc+;ENEH+;ENEP+;ENAV+;ENEV+;s+;S+,M+;ENEH+;ENEP+;ENAV+;ENEV+;s+;S+,M+;N+;Mc+;ENEH+;ENEP+;ENAV+;ENEV+;s+,M+;ENEH+;ENEP+;ENAV+;ENEV+;s+,M+;ENEH+;ENEP+;ENAV+;ENEV+;s+,M+;ENEH+;ENEP+;ENAV+;ENEV+;s+,N+;ENEH+;ENEP+;ENAV+;ENEV+;s+,M+;ENEH+;ENEP+;ENAV+;ENEV+;s+,M+;N+;Mc+;ENEH+;ENEP+;ENAV+;ENEV+;s+,M+;ENEH+;ENEP+;ENAV+;ENEV+;s+,M+;ENEH+;ENEP+;ENAV+;ENEV+;s+,M+;N+;Mc+;ENEH+;ENEP+;ENAV+;ENEV+;s+,M+;N+;Mc+;ENEH+;ENEP+;ENAV+;ENEV+;s+;S+,M+;N+;Mc+;ENEH+;ENEP+;ENAV+;ENEV+;s+,N+;ENEH+;ENEP+;ENAV+;ENEV+;s+,M+;ENEH+;ENEP+;ENAV+;ENEV+;s+,M+;N+;Mc+;ENEH+;ENEP+;ENAV+;ENEV+;s+,M+;ENEH+;ENEP+;ENAV+;ENEV+;s+;S+,N+;ENEH+;ENEP+;ENAV+;ENEV+;s+,M+;N+;Mc+;ENEH+;ENEP+;ENAV+;ENEV+;s+;S+,N+;ENEH+;ENEP+;ENAV+;ENEV+;s+,M+;N+;Mc+;ENEH+;ENEP+;ENAV+;ENEV+;s+,M+;ENEH+;ENEP+;ENAV+;ENEV+;s+,M+;ENEH+;ENEP+;ENAV+;ENEV+;s+;S+,M+;N+;Mc+;ENEH+;ENEP+;ENAV+;ENEV+;s+,M+;N+;Mc+;ENEH+;ENEP+;ENAV+;ENEV+;s+,M+;N+;Mc+;ENEH+;ENEP+;ENAV+;ENEV+;s+;S+,M+;N+;Mc+;ENEH+;ENEP+;ENAV+;ENEV+;s+,M+;ENEH+;ENEP+;ENAV+;ENEV+;s+,M+;ENEH+;ENEP+;ENAV+;ENEV+;s+,M+;ENEH+;ENEP+;ENAV+;ENEV+;s+,M+;N+;Mc+;ENEH+;ENEP+;ENAV+;ENEV+;s+,M+;N+;Mc+;ENEH+;ENEP+;ENAV+;ENEV+;s+,N+;ENEH+;ENEP+;ENAV+;ENEV+;s+,M+;ENEH+;ENEP+;ENAV+;ENEV+;s+,M+;N+;Mc+;ENEH+;ENEP+;ENAV+;ENEV+;s+
1,Y,Y,Y,N,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,N,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,N,N,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,N,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,Y
2,Y,Y,N,N,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,N,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,N,N,Y,Y,Y,Y,Y,Y,Y,N,N,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,N,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,Y
3,Y,Y,N,N,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,N,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,N,N,Y,Y,Y,Y,Y,Y,Y,N,N,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,N,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,Y
4,Y,N,Y,Y,Y,Y,Y,Y,N,Y,N,Y,Y,N,N,N,N,Y,N,Y,N,N,Y,N,N,N,Y,Y,N,Y,N,Y,N,Y,N,N,Y,Y,N,Y,Y,N,N,N,Y,Y,Y,N,Y,Y,N,N,Y,Y,N,Y,N,N,Y,N,Y,N,N,N,Y,N,Y,N,N,Y,Y,Y,Y,N,Y,N,Y,Y,Y,Y,N,N,Y,Y,Y,Y,N,N,N,Y,Y,Y,N,Y
5,Y,N,Y,Y,Y,Y,Y,Y,N,Y,N,Y,Y,N,N,N,N,Y,N,Y,N,N,Y,N,N,N,Y,Y,N,Y,N,Y,N,Y,N,N,Y,Y,N,Y,Y,N,N,N,Y,Y,Y,N,Y,Y,N,N,Y,Y,N,Y,N,N,Y,N,Y,N,N,N,Y,N,Y,N,N,Y,Y,Y,Y,N,Y,N,Y,Y,Y,Y,N,N,Y,Y,Y,Y,N,N,N,Y,Y,Y,N,Y
6,Y,N,Y,Y,Y,Y,Y,Y,N,Y,N,Y,Y,N,N,N,N,Y,N,Y,N,N,Y,N,N,N,Y,Y,N,Y,N,Y,N,Y,N,N,Y,Y,N,Y,Y,N,N,N,Y,Y,Y,N,Y,Y,N,N,Y,Y,N,Y,N,N,Y,N,Y,N,N,N,Y,N,Y,N,N,Y,Y,Y,Y,N,Y,N,Y,Y,Y,Y,N,N,Y,Y,Y,Y,N,N,N,Y,Y,Y,N,Y
7,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
8,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
9,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
