System_names	Gene	Gene_position	Coding_region_start	Coding_region_end	Coding_order	chr	Exon_start	Exon_end	strand	Exon	chr(GCF_000001405.39_GRCh38.p13)		
ABO	ABO	133255176-133275214 	133275162 	133275189 	1 	chr9	133275162	133275214	-	1	NC_000009.12		
ABO	ABO	133255176-133275214 	133262099 	133262168 	2 	chr9	133262099	133262168	-	2	NC_000009.12		
ABO	ABO	133255176-133275214	133261318 	133261374 	3 	chr9	133261318	133261374	-	3	NC_000009.12		
ABO	ABO	133255176-133275214	133259819 	133259866 	4 	chr9	133259819	133259866	-	4	NC_000009.12		
ABO	ABO	133255176-133275214	133258097 	133258132 	5 	chr9	133258097	133258132	-	5	NC_000009.12		
ABO	ABO	133255176-133275214	133257521 	133257542 	6 	chr9	133257524	133257542	-	6	NC_000009.12		
ABO	ABO	133255176-133275214	133257409 	133257521 	7 	chr9	133257409	133257521	-	7	NC_000009.12		
ABO	ABO	133255176-133275214	133255666 	133256356 	8 	chr9	133255176	133256356	-	8	NC_000009.12		
MNS	GYPA	144109303-144140718	144140599 	144140635 	1 	chr4	144140599 	144140718 	-	1	NC_000004.12		
MNS	GYPA	144109303-144140718	144120490 	144120588 	2 	chr4	144120490 	144120588 	-	2	NC_000004.12		
MNS	GYPA	144109303-144140718	144119686 	144119781 	3 	chr4	144119686 	144119781 	-	3	NC_000004.12		
MNS	GYPA	144109303-144140718	144118714 	144118752 	4 	chr4	144118714 	144118752 	-	4	NC_000004.12		
MNS	GYPA	144109303-144140718	144116854 	144116939 	5 	chr4	144116854 	144116939 	-	5	NC_000004.12		
MNS	GYPA	144109303-144140718	144114689 	144114767 	6 	chr4	144114689 	144114767 	-	6	NC_000004.12		
MNS	GYPA	144109303-144140718	144111394 	144111410 	7 	chr4	144109303 	144111410 	-	7	NC_000004.12		
MNS	GYPB	143996104-144019380	144019251 	144019287 	1 	chr4	144019251 	144019380 	-	1	NC_000004.12		
MNS	GYPB	143996104-144019380	144001185 	144001283 	2 	chr4	144001185 	144001283 	-	2	NC_000004.12		
MNS	GYPB	143996104-144019380	144000383 	144000475 	*	chr4	144000383 	144000475 	-	pseudoexon_3	NC_000004.12		
MNS	GYPB	143996104-144019380	143999411 	143999449 	3 	chr4	143999411 	143999449 	-	3	NC_000004.12		
MNS	GYPB	143996104-144019380	143997540 	143997634 	4 	chr4	143997540 	143997634 	-	4	NC_000004.12		
MNS	GYPB	143996104-144019380	143996299 	143996304 	5 	chr4	143996104 	143996304 	-	5	NC_000004.12		
MNS	GYPE	143870864-143905559	143905471 	143905507 	1 	chr4	143905471 	143905559 	-	1	NC_000004.12		
MNS	GYPE	143870864-143905559	143880411 	143880509 	2 	chr4	143880411 	143880509 	-	2	NC_000004.12		
MNS	GYPE	143870864-143905559	143876755 	143876855 	3 	chr4	143876746 	143876855 	-	3	NC_000004.12		
MNS	GYPE	143870864-143905559	*	*	*	chr4	143870864 	143872252 	-	4	NC_000004.12		
P1PK 	A4GALT	42692121-42720870 	*	*	*	chr22	42720797	42720870	-	1	NC_000022.11		
P1PK 	A4GALT	42692121-42720870 	*	*	*	chr22	42695491	42695631	-	2	NC_000022.11		
P1PK 	A4GALT	42692121-42720870 	42692890 	42693951 	1 	chr22	42692121	42693997	-	3	NC_000022.11		
RH	RHCE	25362249-25420825	25362527 	25362553 	10	chr1	25362249	25362553	-	10	NC_000001.11		
RH	RHCE	25362249-25420825	25370467 	25370540 	9	chr1	25370467	25370540	-	9	NC_000001.11		
RH	RHCE	25362249-25420825	25375349 	25375428 	8	chr1	25375349	25375428	-	8	NC_000001.11		
RH	RHCE	25362249-25420825	25385711 	25385844 	7	chr1	25385711	25385844	-	7	NC_000001.11		
RH	RHCE	25362249-25420825	25388976 	25389113 	6	chr1	25388976	25389113	-	6	NC_000001.11		
RH	RHCE	25362249-25420825	25390749 	25390915 	5	chr1	25390749	25390915	-	5	NC_000001.11		
RH	RHCE	25362249-25420825	25391994 	25392141 	4	chr1	25391994	25392141	-	4	NC_000001.11		
RH	RHCE	25362249-25420825	25402596 	25402746 	3	chr1	25402596	25402746	-	3	NC_000001.11		
RH	RHCE	25362249-25420825	25408683 	25408869 	2	chr1	25408683	25408869	-	2	NC_000001.11		
RH	RHCE	25362249-25420825	25420639 	25420786 	1	chr1	25420639	25420825	-	1	NC_000001.11		
RH	RHD	25272509-25330445	25272548	25272695 	1	chr1	25272509	25272695	+	1	NC_000001.11		
RH	RHD	25272509-25330445	25284573 	25284759 	2	chr1	25284573	25284759	+	2	NC_000001.11		
RH	RHD	25272509-25330445	25290641 	25290791 	3	chr1	25290641	25290791	+	3	NC_000001.11		
RH	RHD	25272509-25330445	25300946 	25301093 	4	chr1	25300946	25301093	+	4	NC_000001.11		
RH	RHD	25272509-25330445	25301520 	25301686 	5	chr1	25301520	25301686	+	5	NC_000001.11		
RH	RHD	25272509-25330445	25303322 	25303459 	6	chr1	25303322	25303459	+	6	NC_000001.11		
RH	RHD	25272509-25330445	25306596 	25306729 	7	chr1	25306596	25306729	+	7	NC_000001.11		
RH	RHD	25272509-25330445	25317000 	25317079 	8	chr1	25317000	25317079	+	8	NC_000001.11		
RH	RHD	25272509-25330445	25321889 	25321962 	9	chr1	25321889	25321962	+	9	NC_000001.11		
RH	RHD	25272509-25330445	25328898 	25328924 	10	chr1	25328898	25330445	+	10	NC_000001.11		
LU	BCAM	44809103-44821421	44809125 	44809206	1 	chr19	44809103	44809206	+	1	NC_000019.10		
LU	BCAM	44809103-44821421	44811225	44811346	2 	chr19	44811225	44811346	+	2	NC_000019.10		
