System_names	Gene	Gene_position	Coding_region_start	Coding_region_end	Coding_order	chr	Exon_start	Exon_end	strand	Exon	chr(GCF_000001405.25_GRCh37.p13)
ABO	ABO	136130563-136150630	136150578	136150605	1	chr9	136150578	136150630	-	1	NC_000009.11
ABO	ABO	136130563-136150630	136137502	136137571	2	chr9	136137502	136137571	-	2	NC_000009.11
ABO	ABO	136130563-136150630	136136721	136136777	3	chr9	136136721	136136777	-	3	NC_000009.11
ABO	ABO	136130563-136150630	136135223	136135270	4	chr9	136135223	136135270	-	4	NC_000009.11
ABO	ABO	136130563-136150630	136133487	136133522	5	chr9	136133487	136133522	-	5	NC_000009.11
ABO	ABO	136130563-136150630	136132908	136132929	6	chr9	136132911	136132929	-	6	NC_000009.11
ABO	ABO	136130563-136150630	136132796	136132908	7	chr9	136132796	136132908	-	7	NC_000009.11
ABO	ABO	136130563-136150630	136131053	136131743	8	chr9	136130563	136131743	-	8	NC_000009.11
MNS	GYPA	145030456-145061871	145061752	145061788	1	chr4	145061752	145061871	-	1	NC_000004.11
MNS	GYPA	145030456-145061871	145041643	145041741	2	chr4	145041643	145041741	-	2	NC_000004.11
MNS	GYPA	145030456-145061871	145040839	145040934	3	chr4	145040839	145040934	-	3	NC_000004.11
MNS	GYPA	145030456-145061871	145039867	145039905	4	chr4	145039867	145039905	-	4	NC_000004.11
MNS	GYPA	145030456-145061871	145038007	145038092	5	chr4	145038007	145038092	-	5	NC_000004.11
MNS	GYPA	145030456-145061871	145035842	145035920	6	chr4	145035842	145035920	-	6	NC_000004.11
MNS	GYPA	145030456-145061871	145032547	145032563	7	chr4	145030456	145032563	-	7	NC_000004.11
MNS	GYPB	144917257-144940533	144940404	144940440	1	chr4	144940404	144940533	-	1	NC_000004.11
MNS	GYPB	144917257-144940533	144922338	144922436	2	chr4	144922338	144922436	-	2	NC_000004.11
MNS	GYPB	144917257-144940533	144921536	144921628	*	chr4	144921536	144921628	-	pseudoexon_3	NC_000004.11
MNS	GYPB	144917257-144940533	144920564	144920602	3	chr4	144920564	144920602	-	3	NC_000004.11
MNS	GYPB	144917257-144940533	144918693	144918787	4	chr4	144918693	144918787	-	4	NC_000004.11
MNS	GYPB	144917257-144940533	144917452	144917457	5	chr4	144917257	144917457	-	5	NC_000004.11
MNS	GYPE	144792017-144826712	144826624	144826660	1	chr4	144826624	144826712	-	1	NC_000004.11
MNS	GYPE	144792017-144826712	144801564	144801662	2	chr4	144801564	144801662	-	2	NC_000004.11
MNS	GYPE	144792017-144826712	144797908	144798008	3	chr4	144797899	144798008	-	3	NC_000004.11
MNS	GYPE	144792017-144826712	*	*	*	chr4	144792017	144793405	-	4	NC_000004.11
P1PK 	A4GALT	43088127-43116876	*	*	*	chr22	43116803	43116876	-	1	NC_000022.10
P1PK 	A4GALT	43088127-43116876	*	*	*	chr22	43114246	43114592	-	2a	NC_000022.10
P1PK 	A4GALT	43088127-43116876	*	*	*	chr22	43091497	43091637	-	2	NC_000022.10
P1PK 	A4GALT	43088127-43116876	43088896	43089957	1	chr22	43088127	43090003	-	3	NC_000022.10
RH	RHCE	25688740-25747316	25689018	25689044	10	chr1	25688740	25689044	-	10	NC_000001.10
RH	RHCE	25688740-25747316	25696958	25697031	9	chr1	25696958	25697031	-	9	NC_000001.10
RH	RHCE	25688740-25747316	25701840	25701919	8	chr1	25701840	25701919	-	8	NC_000001.10
RH	RHCE	25688740-25747316	25712202	25712335	7	chr1	25712202	25712335	-	7	NC_000001.10
RH	RHCE	25688740-25747316	25715467	25715604	6	chr1	25715467	25715604	-	6	NC_000001.10
RH	RHCE	25688740-25747316	25717240	25717406	5	chr1	25717240	25717406	-	5	NC_000001.10
RH	RHCE	25688740-25747316	25718485	25718632	4	chr1	25718485	25718632	-	4	NC_000001.10
RH	RHCE	25688740-25747316	25729087	25729237	3	chr1	25729087	25729237	-	3	NC_000001.10
RH	RHCE	25688740-25747316	25735174	25735360	2	chr1	25735174	25735360	-	2	NC_000001.10
RH	RHCE	25688740-25747316	25747130	25747277	1	chr1	25747130	25747316	-	1	NC_000001.10
RH	RHD	25599000-25656936	25599039	25599186	1	chr1	25599000	25599186	+	1	NC_000001.10
RH	RHD	25599000-25656936	25611064	25611250	2	chr1	25611064	25611250	+	2	NC_000001.10
RH	RHD	25599000-25656936	25617132	25617282	3	chr1	25617132	25617282	+	3	NC_000001.10
RH	RHD	25599000-25656936	25627437	25627584	4	chr1	25627437	25627584	+	4	NC_000001.10
RH	RHD	25599000-25656936	25628011	25628177	5	chr1	25628011	25628177	+	5	NC_000001.10
RH	RHD	25599000-25656936	25629813	25629950	6	chr1	25629813	25629950	+	6	NC_000001.10
RH	RHD	25599000-25656936	25633087	25633220	7	chr1	25633087	25633220	+	7	NC_000001.10
RH	RHD	25599000-25656936	25643491	25643570	8	chr1	25643491	25643570	+	8	NC_000001.10
RH	RHD	25599000-25656936	25648380	25648453	9	chr1	25648380	25648453	+	9	NC_000001.10
RH	RHD	25599000-25656936	25655389	25655415	10	chr1	25655389	25656936	+	10	NC_000001.10
LU	BCAM	45312360-45324678	45312382	45312463	1	chr19	45312360	45312463	+	1	NC_000019.9
LU	BCAM	45312360-45324678	45314482	45314603	2	chr19	45314482	45314603	+	2	NC_000019.9
LU	BCAM	45312360-45324678	45315420	45315648	3	chr19	45315420	45315648	+	3	NC_000019.9
LU	BCAM	45312360-45324678	45315735	45315805	4	chr19	45315735	45315805	+	4	NC_000019.9
LU	BCAM	45312360-45324678	45316507	45316603	5	chr19	45316507	45316603	+	5	NC_000019.9
LU	BCAM	45312360-45324678	45316695	45316877	6	chr19	45316695	45316877	+	6	NC_000019.9
LU	BCAM	45312360-45324678	45317409	45317545	7	chr19	45317409	45317545	+	7	NC_000019.9
